Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Malawi,MWI,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,20.57393,21.1428,21.09799,20.51505,19.04436,19.21276,19.90473,19.87349,19.26343,19.76264,..,..,..,..,..,..,..,..,..,..,..
Malawi,MWI,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,82.22983,81.94001,87.07768,83.41094,88.40344,88.1921,84.38798,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malawi,MWI,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,84.97976,87.82473,91.39047,84.86528,91.00302,89.92271,88.43855,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malawi,MWI,Progression to secondary school (%),SE.SEC.PROG.ZS,83.63632,84.89327,89.23697,84.13884,89.68796,89.04605,86.39633,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malawi,MWI,"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS,50.23692,50.47241,50.43676,50.22121,50.25065,50.44136,50.51477,50.43786,50.32932,50.31492,50.32556,50.44968,50.53808,49.94967,..,..,..,..,..,..,..
Malawi,MWI,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,58.9118385314941,59.4723587036133,61.120849609375,66.0821762084961,68.3985824584961,66.1929745665318,70.3852495877679,72.857651401737,76.9665014454888,77.6697264382441,..,..,..,..,80.1118709609467,..,90.745729648981,..,72.8138987504941,74.4729558767768,..
Malawi,MWI,"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS,14.5902595520019,18.7963104248047,16.0300598144531,16.8778095245361,18.3409194946289,17.0022498466014,17.6737949685249,17.919560490889,20.8606118639418,21.4236863102701,22.0275539120124,21.5896616615047,20.6473763970449,21.0617773824998,..,..,20.5348058121624,21.7978269305394,..,24.3685162624137,..
Malawi,MWI,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,17.6904106140137,20.7711296081543,18.6548309326172,19.781099319458,20.5134792327881,18.7750124972188,19.7175773021611,19.3138872774583,21.992149538799,22.8001116476109,23.5192642357036,22.5988003258374,21.6639708373294,22.096646688973,..,..,20.9891807093142,22.2624260927901,..,24.3779290336978,..
Malawi,MWI,Lower secondary school starting age (years),SE.SEC.AGES,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,..,..
Malawi,MWI,"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,21.031099319458,22.898250579834,21.47878074646,22.8916702270508,22.8112907409668,20.60976685385,21.8328286243495,20.7445867686075,24.0995064616438,24.1957939088908,25.0315817355692,23.6230067544043,22.6959799236561,23.1476120557488,..,22.7025599072843,21.4508411413534,22.7345681690019,..,24.3874836050216,..
Malawi,MWI,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,..,72.23,..,..,..,..,..,..,..,75.73,..,..,84.4684887296589,87.0699996948242,..,80.1399993896484,..,..,..,..,..
Malawi,MWI,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,65.8251794145618,71.0699996948242,..,62.6800003051758,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,,,,,,,,,,,
